row	column	cor	p	group
193	CytolyticScore	KDM5B	-0.158823529411765	0.556861281085539	ASPS
194	T.cells_CD8	KIAA0100	-0.129411764705882	0.63288233246826	ASPS
195	CytolyticScore	KIAA0100	-0.0558823529411765	0.837137221795472	ASPS
196	T.cells_CD8	KIF20B	0.129411764705882	0.63288233246826	ASPS
197	CytolyticScore	KIF20B	0	1	ASPS
198	T.cells_CD8	KIF2C	0.105882352941176	0.696334105038116	ASPS
199	CytolyticScore	KIF2C	0.0941176470588235	0.72881442702398	ASPS
200	T.cells_CD8	LDHC	-0.175223642263777	0.516279285328144	ASPS
201	CytolyticScore	LDHC	-0.239591510850471	0.371458790887701	ASPS
202	T.cells_CD8	LEMD1	0.361275939647976	0.169177385363737	ASPS
203	CytolyticScore	LEMD1	0.270473965511854	0.310973019643574	ASPS
204	T.cells_CD8	LIPI	-0.078540275098037	0.772486898250109	ASPS
205	CytolyticScore	LIPI	-0.208917131760778	0.437448468794095	ASPS
206	T.cells_CD8	LUZP4	-0.194117647058824	0.471289728362107	ASPS
207	CytolyticScore	LUZP4	-0.141176470588235	0.602002683881979	ASPS
208	T.cells_CD8	LY6K	0.252941176470588	0.344563031337499	ASPS
209	CytolyticScore	LY6K	0.441176470588235	0.0871536362605108	ASPS
210	T.cells_CD8	LYPD6B	-0.146828724135006	0.587385349873998	ASPS
211	CytolyticScore	LYPD6B	-0.0676184913779634	0.803501818028988	ASPS
212	T.cells_CD8	MAEL	0.0265487880754859	0.922252205599131	ASPS
213	CytolyticScore	MAEL	-0.0383482494423685	0.88786930283189	ASPS
214	T.cells_CD8	MAGEA1	NA	NA	ASPS
215	CytolyticScore	MAGEA1	NA	NA	ASPS
216	T.cells_CD8	MAGEA10	NA	NA	ASPS
217	CytolyticScore	MAGEA10	NA	NA	ASPS
218	T.cells_CD8	MAGEA11	-0.500483757043903	0.0483282835693151	ASPS
219	CytolyticScore	MAGEA11	-0.530685363072414	0.0344357824549877	ASPS
220	T.cells_CD8	MAGEA12	-0.394073746457511	0.130959617645874	ASPS
221	CytolyticScore	MAGEA12	-0.411986189478307	0.112820958630304	ASPS
222	T.cells_CD8	MAGEA2	0.375362817782927	0.151950422858713	ASPS
223	CytolyticScore	MAGEA2	0.310645090578974	0.241581966439205	ASPS
224	T.cells_CD8	MAGEA2B	0.364072821847283	0.165658125291233	ASPS
225	CytolyticScore	MAGEA2B	0.308061618486162	0.245725166221649	ASPS
226	T.cells_CD8	MAGEA3	0.364072821847283	0.165658125291233	ASPS
227	CytolyticScore	MAGEA3	0.308061618486162	0.245725166221649	ASPS
228	T.cells_CD8	MAGEA4	NA	NA	ASPS
229	CytolyticScore	MAGEA4	NA	NA	ASPS
230	T.cells_CD8	MAGEA5	-0.143166797918176	0.596838878991106	ASPS
231	CytolyticScore	MAGEA5	-0.219863296802913	0.413244081392427	ASPS
232	T.cells_CD8	MAGEA6	-0.0280056016805602	0.917998970628509	ASPS
233	CytolyticScore	MAGEA6	0.252050415125042	0.346322397267912	ASPS
234	T.cells_CD8	MAGEA8	0.18952761306082	0.482038979759261	ASPS
235	CytolyticScore	MAGEA8	0.318263350234207	0.229619959018171	ASPS
236	T.cells_CD8	MAGEA9	-0.194153181611859	0.471206972240834	ASPS
237	CytolyticScore	MAGEA9	-0.0560886969100926	0.836543385335651	ASPS
238	T.cells_CD8	MAGEA9B	NA	NA	ASPS
239	CytolyticScore	MAGEA9B	NA	NA	ASPS
240	T.cells_CD8	MAGEB1	NA	NA	ASPS
241	CytolyticScore	MAGEB1	NA	NA	ASPS
242	T.cells_CD8	MAGEB2	0.196039211763921	0.46682484902655	ASPS
243	CytolyticScore	MAGEB2	0.196039211763921	0.46682484902655	ASPS
244	T.cells_CD8	MAGEB3	NA	NA	ASPS
245	CytolyticScore	MAGEB3	NA	NA	ASPS
246	T.cells_CD8	MAGEB4	NA	NA	ASPS
247	CytolyticScore	MAGEB4	NA	NA	ASPS
248	T.cells_CD8	MAGEB5	NA	NA	ASPS
249	CytolyticScore	MAGEB5	NA	NA	ASPS
250	T.cells_CD8	MAGEB6	0.227970913788562	0.395781751042085	ASPS
251	CytolyticScore	MAGEB6	0.110121543101255	0.684747362126992	ASPS
252	T.cells_CD8	MAGEC1	0.0172580605877208	0.949418849628952	ASPS
253	CytolyticScore	MAGEC1	-0.0474596666162322	0.861443840422031	ASPS
254	T.cells_CD8	MAGEC2	0.343034631522472	0.193350386408641	ASPS
255	CytolyticScore	MAGEC2	0.160533448249432	0.552566620107306	ASPS
256	T.cells_CD8	MAGEC3	0.0488902302030417	0.857306630593283	ASPS
257	CytolyticScore	MAGEC3	0.174819611029058	0.517262392430974	ASPS
258	T.cells_CD8	MORC1	-0.104390784542678	0.700426093306246	ASPS
259	CytolyticScore	MORC1	-0.00307031719243172	0.990996104787895	ASPS
260	T.cells_CD8	NLRP4	-0.13716893965244	0.612453807941518	ASPS
261	CytolyticScore	NLRP4	-0.0869380603430958	0.748854599737811	ASPS
262	T.cells_CD8	NOL4	-0.185095244548225	0.492530084585118	ASPS
263	CytolyticScore	NOL4	-0.289584495502868	0.276639068626816	ASPS
264	T.cells_CD8	NR6A1	-0.191176470588235	0.478164012817028	ASPS
265	CytolyticScore	NR6A1	-0.179411764705882	0.506139539990438	ASPS
266	T.cells_CD8	NUF2	0.258823529411765	0.333072306633608	ASPS
267	CytolyticScore	NUF2	0.0764705882352941	0.778340980960703	ASPS
268	T.cells_CD8	NXF2	0.420633455363145	0.104726279544162	ASPS
269	CytolyticScore	NXF2	0.540375825867982	0.0306948507691636	ASPS
270	T.cells_CD8	NXF2B	0.0388922234131299	0.886288258783786	ASPS
271	CytolyticScore	NXF2B	0.139363800563715	0.606721055310769	ASPS
272	T.cells_CD8	ODF1	-0.132881763328194	0.623712217821713	ASPS
273	CytolyticScore	ODF1	-0.00324101861776082	0.990495532771277	ASPS
