row	column	cor	p	group	DiffExp
249	CytolyticScore	MAGEB5	NA	NA	ASPS	0
250	T.cells_CD8	MAGEB6	 2.279709e-01	3.957818e-01	ASPS	0
251	CytolyticScore	MAGEB6	 1.101215e-01	6.847474e-01	ASPS	0
252	T.cells_CD8	MAGEC1	 1.725806e-02	9.494188e-01	ASPS	0
253	CytolyticScore	MAGEC1	-4.745967e-02	8.614438e-01	ASPS	0
254	T.cells_CD8	MAGEC2	 3.430346e-01	1.933504e-01	ASPS	0
255	CytolyticScore	MAGEC2	 1.605334e-01	5.525666e-01	ASPS	0
256	T.cells_CD8	MAGEC3	 4.889023e-02	8.573066e-01	ASPS	0
257	CytolyticScore	MAGEC3	 1.748196e-01	5.172624e-01	ASPS	0
258	T.cells_CD8	MORC1	-1.043908e-01	7.004261e-01	ASPS	0
259	CytolyticScore	MORC1	-3.070317e-03	9.909961e-01	ASPS	0
260	T.cells_CD8	NLRP4	-1.371689e-01	6.124538e-01	ASPS	0
261	CytolyticScore	NLRP4	-8.693806e-02	7.488546e-01	ASPS	0
262	T.cells_CD8	NOL4	-1.850952e-01	4.925301e-01	ASPS	0
263	CytolyticScore	NOL4	-2.895845e-01	2.766391e-01	ASPS	0
264	T.cells_CD8	NR6A1	-1.911765e-01	4.781640e-01	ASPS	0
265	CytolyticScore	NR6A1	-1.794118e-01	5.061395e-01	ASPS	0
266	T.cells_CD8	NUF2	 2.588235e-01	3.330723e-01	ASPS	0
267	CytolyticScore	NUF2	 7.647059e-02	7.783410e-01	ASPS	0
268	T.cells_CD8	NXF2	 4.206335e-01	1.047263e-01	ASPS	0
269	CytolyticScore	NXF2	 5.403758e-01	3.069485e-02	ASPS	0
270	T.cells_CD8	NXF2B	 3.889222e-02	8.862883e-01	ASPS	0
271	CytolyticScore	NXF2B	 1.393638e-01	6.067211e-01	ASPS	0
272	T.cells_CD8	ODF1	-1.328818e-01	6.237122e-01	ASPS	0
273	CytolyticScore	ODF1	-3.241019e-03	9.904955e-01	ASPS	0
274	T.cells_CD8	ODF2	-1.176471e-01	6.643411e-01	ASPS	0
275	CytolyticScore	ODF2	-2.941176e-02	9.138956e-01	ASPS	0
276	T.cells_CD8	ODF3	 1.545566e-01	5.676408e-01	ASPS	0
277	CytolyticScore	ODF3	 1.371689e-01	6.124538e-01	ASPS	0
278	T.cells_CD8	ODF4	 2.286693e-01	3.942963e-01	ASPS	0
