row	column	cor	p	group	DiffExp
251	CytolyticScore	E2F3	 9.117647e-02	7.370050e-01	ASPS	0
252	T.cells_CD8	E2F4	 2.617647e-01	3.274104e-01	ASPS	0
253	CytolyticScore	E2F4	 3.294118e-01	2.128014e-01	ASPS	0
254	T.cells_CD8	E2F5	 2.235294e-01	4.052983e-01	ASPS	0
255	CytolyticScore	E2F5	 2.029412e-01	4.509612e-01	ASPS	0
256	T.cells_CD8	E2F6	 2.470588e-01	3.562750e-01	ASPS	0
257	CytolyticScore	E2F6	 9.411765e-02	7.288144e-01	ASPS	0
258	T.cells_CD8	E2F7	 1.588235e-01	5.568613e-01	ASPS	0
259	CytolyticScore	E2F7	-2.941176e-03	9.913748e-01	ASPS	0
260	T.cells_CD8	E2F8	 4.117647e-02	8.796536e-01	ASPS	0
261	CytolyticScore	E2F8	-2.647059e-02	9.224806e-01	ASPS	0
262	T.cells_CD8	E4F1	 1.176471e-01	6.643411e-01	ASPS	0
263	CytolyticScore	E4F1	 1.382353e-01	6.096659e-01	ASPS	0
264	T.cells_CD8	EBF1	 1.264706e-01	6.406944e-01	ASPS	0
265	CytolyticScore	EBF1	 1.852941e-01	4.920571e-01	ASPS	0
266	T.cells_CD8	EBF2	-1.529412e-01	5.717446e-01	ASPS	0
267	CytolyticScore	EBF2	 9.117647e-02	7.370050e-01	ASPS	0
268	T.cells_CD8	EBF3	 1.088235e-01	6.882883e-01	ASPS	0
269	CytolyticScore	EBF3	-5.882353e-03	9.827505e-01	ASPS	0
270	T.cells_CD8	EBF4	 9.117647e-02	7.370050e-01	ASPS	0
271	CytolyticScore	EBF4	 5.294118e-02	8.456104e-01	ASPS	0
272	T.cells_CD8	EGR1	 2.882353e-01	2.789845e-01	ASPS	0
273	CytolyticScore	EGR1	 2.500000e-01	3.503915e-01	ASPS	0
274	T.cells_CD8	EGR2	 3.588235e-01	1.723039e-01	ASPS	0
275	CytolyticScore	EGR2	 3.000000e-01	2.589365e-01	ASPS	0
276	T.cells_CD8	EGR3	 7.647059e-02	7.783410e-01	ASPS	0
277	CytolyticScore	EGR3	 4.705882e-02	8.626037e-01	ASPS	0
278	T.cells_CD8	EGR4	 4.153707e-01	1.096023e-01	ASPS	0
279	CytolyticScore	EGR4	 3.458203e-01	1.895210e-01	ASPS	0
280	T.cells_CD8	EHF	 1.617647e-01	5.494831e-01	ASPS	0
281	CytolyticScore	EHF	 1.852941e-01	4.920571e-01	ASPS	0
