GeneName	YSTNormalsStatus	RMS.FNNormalsStatus	NB.MYCN.NANormalsStatus	NB.MYCN.ANormalsStatus	WTNormalsStatus	OSNormalsStatus	UDSNormalsStatus	NB.UnknownNormalsStatus	EWSNormalsStatus	SSNormalsStatus	RMS.FPNormalsStatus	CCSKNormalsStatus	MLNormalsStatus	DSRCTNormalsStatus	TeratomaNormalsStatus	ASPSNormalsStatus	HBLNormalsStatus	RowSum
POTEH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPANXC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYCP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAGEB3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DCAF12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSX4B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPANXN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPANXN2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPANXA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CT83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAGE3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPANXN5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSX4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSX9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLCO6A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GAGE1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRSS50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTAGE1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAGEB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GAGE12G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GAGE12E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POTEG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CT47A10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKRD30BP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GAGE12J	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GAGE12H	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
